Position,Driver,Constructor,Points,Wins
1,Juan Fangio,Maserati,40,4
2,Stirling Moss,Maserati,17,2
3,Luigi Musso,Ferrari,16,0
4,Mike Hawthorn,Ferrari,13,0
5,Tony Brooks,Vanwall,10,1
6,Harry Schell,Maserati,9,0
7,Sam Hanks,Epperly,8,1
8,Peter Collins,Ferrari,8,0
9,Jim Rathmann,Epperly,7,0
10,Masten Gregory,Maserati,7,0
11,Jean Behra,Maserati,6,0
12,Stuart Lewis-Evans,Connaught,5,0
13,Maurice Trintignant,Ferrari,5,0
14,Carlos Menditeguy,Maserati,4,0
15,Jimmy Bryan,Kuzma,4,0
16,Paul Russo,Kurtis Kraft,3,0
17,Roy Salvadori,BRM,2,0
18,Andy Linden,Kurtis Kraft,2,0
19,Alfonso de Portago,Ferrari,1,0
20,José Froilán González,Ferrari,1,0
21,Jack Brabham,Cooper,0,0
22,Giorgio Scarlatti,Maserati,0,0
23,Wolfgang von Trips,Ferrari,0,0
24,Johnny Boyd,Kurtis Kraft,0,0
25,Bob Gerard,Cooper,0,0
26,Cesare Perdisa,Ferrari,0,0
27,Jo Bonnier,Maserati,0,0
28,Mike MacDowel,Cooper,0,0
29,Marshall Teague,Kurtis Kraft,0,0
30,Ivor Bueb,Connaught,0,0
